iter	Passed	Remaining
538	7881	6740
539	7895	6726
540	7909	6710
541	7921	6693
542	7933	6676
543	7945	6659
544	7957	6643
545	7968	6626
546	7975	6604
547	7984	6585
548	7993	6566
549	7997	6543
550	8004	6522
551	8016	6506
552	8028	6489
553	8040	6472
554	8054	6457
555	8070	6444
556	8087	6432
557	8104	6419
558	8120	6406
559	8138	6394
560	8146	6374
561	8165	6364
562	8183	6351
563	8202	6340
564	8220	6329
565	8255	6329
566	8295	6335
567	8325	6331
568	8344	6320
569	8360	6306
570	8375	6292
571	8389	6277
572	8404	6262
573	8422	6250
574	8425	6227
575	8439	6212
576	8452	6196
577	8464	6179
578	8476	6163
579	8488	6146
580	8500	6130
581	8513	6114
582	8525	6098
583	8535	6080
584	8558	6071
585	8570	6054
586	8580	6036
587	8592	6020
588	8608	6007
589	8626	5994
590	8681	6007
591	8696	5993
592	8705	5974
593	8717	5958
594	8728	5940
595	8742	5926
596	8756	5910
597	8768	5894
598	8787	5882
599	8803	5868
600	8815	5852
601	8823	5833
602	8826	5811
603	8838	5794
604	8851	5779
605	8864	5763
606	8876	5746
607	8881	5725
608	8893	5709
609	8906	5694
610	8918	5678
611	8930	5662
612	8943	5646
613	8960	5633
614	8977	5619
615	8992	5605
616	9000	5587
617	9013	5571
618	9026	5555
619	9038	5539
620	9048	5522
621	9055	5502
622	9067	5487
623	9083	5473
624	9103	5461
625	9122	5450
626	9142	5438
627	9161	5426
628	9180	5414
629	9199	5402
630	9217	5390
631	9234	5376
632	9251	5364
633	9271	5352
634	9289	5339
635	9305	5326
636	9322	5312
637	9333	5295
638	9350	5282
639	9364	5267
640	9377	5252
641	9391	5236
642	9403	5220
643	9415	5205
644	9429	5189
645	9441	5174
646	9454	5158
647	9467	5142
648	9480	5127
649	9492	5111
650	9510	5098
651	9525	5084
652	9540	5069
653	9554	5054
654	9559	5035
655	9572	5019
656	9585	5004
657	9593	4986
658	9605	4970
659	9612	4951
660	9624	4936
661	9636	4920
662	9696	4928
663	9712	4914
664	9731	4902
665	9744	4887
666	9761	4873
667	9775	4858
668	9788	4842
669	9801	4827
670	9813	4811
671	9826	4796
672	9838	4780
673	9851	4764
674	9864	4749
675	9877	4734
676	9885	4716
677	9897	4700
678	9911	4685
679	9931	4673
680	9945	4658
681	9958	4643
682	9971	4627
683	9983	4612
684	9995	4596
685	10007	4580
686	10014	4562
687	10026	4546
688	10032	4528
689	10044	4512
690	10057	4497
691	10063	4479
692	10069	4460
693	10085	4447
694	10102	4433
695	10114	4417
696	10131	4404
697	10138	4386
698	10154	4372
699	10161	4354
700	10179	4342
701	10186	4324
702	10203	4310
703	10209	4292
704	10222	4277
705	10239	4263
706	10255	4250
707	10275	4237
708	10283	4220
709	10304	4208
710	10319	4194
711	10335	4180
712	10348	4165
713	10361	4150
714	10374	4135
715	10387	4120
716	10399	4104
717	10411	4089
718	10424	4074
719	10442	4060
720	10458	4046
721	10465	4029
722	10478	4014
723	10490	3998
724	10501	3983
725	10514	3968
726	10526	3952
727	10532	3935
728	10548	3921
729	10564	3907
730	10580	3893
731	10595	3879
732	10611	3865
733	10691	3874
734	10710	3861
735	10726	3847
